Post_Date,Post_Time,Seller_Name,Supply_Type,Inventory_Status,festival,Supply_Shop,Supply_District,Supply_Table_Date,Date_of_week,Supply_Count,Count_Specified,Premium_Keywords,Premium_Score,Supply_Zone,Seller_Contact,Raw_Message,is_fri,is_sat,is_payday,is_exam,is_hell_week,is_post_midterm,is_pre_break_final,is_break,is_pre_term,is_post_term,is_concert,is_festival,is_year_66,is_year_67,Active_Events,Booster_Count,Depressor_Count
2023-07-22,15:47,รถตุ๊กๆ,ปล่อยโต๊ะ,มีของในมือ,วันปกติ,,หลังมอ,2023-07-22,เสาร์,1,False,,0,,,ปล่อยบัตร คอนเสิร์ต yams ใบละ 250 ค่ะ มี4 ใบ นัดรับหลังมอ กังสดาล,False,True,False,False,False,False,False,False,False,False,True,False,True,False,เสาร์ + คอนเสิร์ต,2,0
2023-07-22,17:28,RJ,ปล่อยโต๊ะ,มีของในมือ,วันปกติ,"Rusty, Replayground",ในเมือง,2023-07-22,เสาร์,1,True,,0,,ampkota,ปล่อยโต๊ะรีเพล1 โต๊ะ ค่าบบ พอดีเพื่อนได้โต๊ะรัชตี้แย้วว เอาแค่ค่าเครื่องดื่มคืนพอ id: ampkota,False,True,False,False,False,False,False,False,False,False,False,False,True,False,เสาร์,1,0
2023-07-22,17:29,นักนั่งโต๊ะ,ปล่อยโต๊ะ,มีของในมือ,วันปกติ,Bennington,หลังมอ,2023-07-22,เสาร์,2,True,,0,,lin.ee/guL5OSW,ขายโต๊ะเบนพร้อมโปรเบียร์ ค่ะ Dept มี 2 โต๊ะแล้ววว ราคาเบาๆ ❌ ระวังมิจฉาชีพ❌ https://lin.ee/guL5OSW,False,True,False,False,False,False,False,False,False,False,True,False,True,False,เสาร์ + คอนเสิร์ต,2,0
2023-07-22,17:30,RJ,ปล่อยโต๊ะ,มีของในมือ,วันปกติ,"Rusty, Replayground",ในเมือง,2023-07-22,เสาร์,1,True,,0,,ampkota,ปล่อยโต๊ะรีเพล1 โต๊ะ ค่าบบ พอดีเพื่อนได้โต๊ะรัชตี้แย้วว เอาแค่ค่าเครื่องดื่มคืนพอ id: ampkota,False,True,False,False,False,False,False,False,False,False,False,False,True,False,เสาร์,1,0
2023-07-22,17:36,นักนั่งโต๊ะ,ปล่อยโต๊ะ,มีของในมือ,วันปกติ,Bennington,หลังมอ,2023-07-22,เสาร์,2,True,,0,,lin.ee/guL5OSW,ขายโต๊ะเบนพร้อมโปรเบียร์ ค่ะ Dept มี 2 โต๊ะแล้ววว ราคาเบาๆ ❌ ระวังมิจฉาชีพ❌ https://lin.ee/guL5OSW,False,True,False,False,False,False,False,False,False,False,True,False,True,False,เสาร์ + คอนเสิร์ต,2,0
2023-07-22,18:00,ขนมปัง,ปล่อยโต๊ะ,มีของในมือ,วันปกติ,Bennington,หลังมอ,2023-07-22,เสาร์,1,False,,0,B,lin.ee/izhKAaq,ปล่อยโต๊ะเบนนิงตัน โซน B และ C มีคิวแล้ว 💐✨ มีเครดิต ไม่โกง 100% ทักมาสอบถามได้งับ https://lin.ee/izhKAaq,False,True,False,False,False,False,False,False,False,False,True,False,True,False,เสาร์ + คอนเสิร์ต,2,0
2023-07-22,18:03,นักนั่งโต๊ะ,ปล่อยโต๊ะ,มีของในมือ,วันปกติ,Bennington,หลังมอ,2023-07-22,เสาร์,2,True,,0,,lin.ee/guL5OSW,ขายโต๊ะเบนพร้อมโปรเบียร์ ค่ะ Dept มี 2 โต๊ะแล้ววว ราคาเบาๆ ❌ ระวังมิจฉาชีพ❌ https://lin.ee/guL5OSW,False,True,False,False,False,False,False,False,False,False,True,False,True,False,เสาร์ + คอนเสิร์ต,2,0
2023-07-22,18:25,ขนมปัง,ปล่อยโต๊ะ,มีของในมือ,วันปกติ,Bennington,หลังมอ,2023-07-22,เสาร์,1,False,,0,B,lin.ee/izhKAaq,ปล่อยโต๊ะเบนนิงตัน โซน B และ C มีคิวแล้ว 💐✨ มีเครดิต ไม่โกง 100% ทักมาสอบถามได้งับ https://lin.ee/izhKAaq,False,True,False,False,False,False,False,False,False,False,True,False,True,False,เสาร์ + คอนเสิร์ต,2,0
2023-07-22,19:00,นักนั่งโต๊ะ,ปล่อยโต๊ะ,มีของในมือ,วันปกติ,Bennington,หลังมอ,2023-07-22,เสาร์,2,True,,0,,lin.ee/guL5OSW,ขายโต๊ะเบนพร้อมโปรเบียร์ ค่ะ Dept มี 2 โต๊ะแล้ววว ราคาเบาๆ ❌ ระวังมิจฉาชีพ❌ https://lin.ee/guL5OSW,False,True,False,False,False,False,False,False,False,False,True,False,True,False,เสาร์ + คอนเสิร์ต,2,0
2023-07-22,19:12,ขนมปัง,ปล่อยโต๊ะ,มีของในมือ,วันปกติ,Bennington,หลังมอ,2023-07-22,เสาร์,1,False,,0,B,lin.ee/izhKAaq,ปล่อยโต๊ะเบนนิงตัน โซน B 💐✨ มีเครดิต ไม่โกง 100% ทักมาสอบถามได้งับ https://lin.ee/izhKAaq,False,True,False,False,False,False,False,False,False,False,True,False,True,False,เสาร์ + คอนเสิร์ต,2,0
2023-07-22,19:38,&&-,ปล่อยโต๊ะ,มีของในมือ,วันปกติ,Replayground,หลังมอ,2023-07-22,เสาร์,2,True,,0,,line.me/ti/p/4VPVIdMEG7,ปล่อยโต๊ะรีเพลย์ 2 โต๊ะคั้บบ https://line.me/ti/p/4VPVIdMEG7,False,True,False,False,False,False,False,False,False,False,False,False,True,False,เสาร์,1,0
2023-07-22,20:07,นักนั่งโต๊ะ,ปล่อยโต๊ะ,มีของในมือ,วันปกติ,Bennington,หลังมอ,2023-07-22,เสาร์,1,False,,0,,,ขายโต๊ะเบนพร้อมเบียร์ค่ะ 0957982159,False,True,False,False,False,False,False,False,False,False,True,False,True,False,เสาร์ + คอนเสิร์ต,2,0
2023-07-22,20:37,นักนั่งโต๊ะ,ปล่อยโต๊ะ,มีของในมือ,วันปกติ,Bennington,หลังมอ,2023-07-22,เสาร์,1,False,,0,,,ปล่อยโต๊ะเบนนิงตันค่ะ ราคาเท่าทุนนน,False,True,False,False,False,False,False,False,False,False,True,False,True,False,เสาร์ + คอนเสิร์ต,2,0
